,epoch,Train_Loss,Valid_Loss,Valid_jaccard,Valid_dice,model_file
16,17,0.25722024653639114,0.26788975132836235,0.029546847566962242,0.049804702401161194,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-17-8.pth
17,18,0.2547923364809581,0.26002687050236595,0.035245779901742935,0.06248850375413895,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-18-8.pth
18,19,0.25184091457298824,0.251089957025316,0.046579085290431976,0.08200658112764359,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-19-8.pth
19,20,0.2524058793272291,0.25709276563591427,0.07306119799613953,0.12438567727804184,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-20-8.pth
20,21,0.24114059337547847,0.2445718463924196,0.04667099192738533,0.08294972777366638,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-21-8.pth
21,22,0.25179664364882876,0.27597756849394905,0.033029571175575256,0.05260523781180382,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-22-8.pth
22,23,0.2462557464838028,0.2500552220476998,0.04061388969421387,0.06738391518592834,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-23-8.pth
23,24,0.23980705440044403,0.25437217785252464,0.03196168690919876,0.05314994230866432,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-24-8.pth
24,25,0.2380330796752657,0.2432990852329466,0.057447269558906555,0.097296342253685,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-25-8.pth
25,26,0.2370247721672058,0.24288627836439344,0.06714054197072983,0.1151726096868515,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-26-8.pth
26,27,0.23345729623522077,0.2411282476451662,0.06915745139122009,0.11849246919155121,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-27-8.pth
27,28,0.23331858132566724,0.23951328297456106,0.08404730260372162,0.14126461744308472,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-28-8.pth
28,29,0.23168108889034816,0.23910297287835014,0.0882747620344162,0.14554403722286224,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-29-8.pth
29,30,0.23076485693454743,0.2412561078866323,0.09272126853466034,0.15399818122386932,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-30-8.pth
30,31,0.2240145606654031,0.23708037700917986,0.1276354342699051,0.20048877596855164,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-31-8.pth
31,32,0.22450707043920246,0.23638593819406298,0.09251273423433304,0.14968685805797577,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-32-8.pth
32,33,0.2283996731042862,0.23816854589515263,0.11560264229774475,0.18276530504226685,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-33-8.pth
33,34,0.22292901618140085,0.23302813536591,0.1020992174744606,0.16265952587127686,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-34-8.pth
34,35,0.2255251318216324,0.23448261784182656,0.11164306104183197,0.17422282695770264,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-35-8.pth
35,36,0.22150409519672393,0.23057823379834494,0.12368205934762955,0.1902862936258316,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-36-8.pth
36,37,0.22049226249967302,0.23319877518547905,0.11065192520618439,0.17041754722595215,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-37-8.pth
37,38,0.21944708611283983,0.23107734819253287,0.15879076719284058,0.2351371943950653,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-38-8.pth
